con1	con1	trt1	trt2
LINC00303	0	0	0	0
NUDT4B	5.15	2.67	3.4	2.48
UBE2U	0.09	0	0	0
NHLH2	0.75	0.86	0.78	0.56
JUN	417.96	846.55	1329.02	1247.34
AGTRAP	32.38	35.62	22.31	16.86
FAM87B	0.52	0.61	0.26	0.5
RPS27	2744.46	2290	2590.5	2566.76
PDE4DIP	30.14	58.94	65.81	67.18
CCDC185	0.03	0.06	0.07	0.03
CTNNBIP1	19.4	10.7	16.81	24.84
DPM3	20.95	30.17	14.38	18.57
FUCA1	5.36	7.89	14.92	13.13
VWA1	1.61	1.52	2.51	0.91
HTR1D	0.01	0.05	0	0
SPEN-AS1	0.65	0.71	0.98	0.75
CITED4	2.75	0.55	0.64	1.1
TRNAU1AP	25.42	29.36	29.33	23.73
MIGA1	5.73	5.13	8	8.2
FCRL6	0.04	0.14	0.17	0
ZNF678	3.95	3.17	3.18	2.5
GPR88	0	0	0	0
GPR3	1.44	0.43	0.1	0.03
IBA57	5.93	5.03	5.36	3.78
SNRPE	279.52	145.75	101.67	112.4
TDRKH	4.58	4.41	6.55	7.89
PAQR7	11.27	13.62	16.93	17.52
FHL3	8.31	10.42	7.67	6.17
SF3A3	127.87	110.53	95.12	82.25
UTP11	62.57	59.77	56.53	47.41
TMEM50A	89.94	97.69	135.74	134.32
SLC35F3	5.17	4.95	5.11	5.46
LIN9	10.02	6.93	3.59	4.28
KIRREL1	37.38	44.1	31.58	30.37
ST6GALNAC3	0.11	0	0.02	0.02
PTP4A2	177.37	289.08	280.99	281.81
TACSTD2	6.04	4.86	4	5.08
CSF1	34.88	45.12	52.11	46.5
PDE4B	4.61	5.97	4.4	6.37
FAF1	80.12	67.47	61.38	67.93
PGBD2	2.48	3.21	3.95	4.04
ZBTB37	1.3	1.34	2.47	1.19
SMYD3	89.99	131.08	56.77	62.56
IFNLR1	0.93	2.35	1.6	1.27
ROR1	16.08	18.3	11.54	12.05
MUC1	0.79	1.06	0.82	0.96
FAM131C	0.29	0.4	0.07	0.04
PBX1	1.94	2.09	1.81	2.18
DNAH14	8.38	9.06	9.82	9.39
NBPF6	1.26	1.95	0.74	0.7
AGBL4	0	0	0.02	0
POLR3C	41.07	33.92	28.73	26.95
EDARADD	0.64	0.88	0.41	0.45
LCE5A	0	0	0	0
MST1P2	0.04	0.19	0.07	0.03
FOXD2	0.37	0.32	0.16	0.12
HPDL	8.54	2.7	0.73	0.76
TNFRSF18	0	0	0	0
SPATA21	0.09	0.06	0.02	0.06
ISG15	22.56	37.01	18.38	14.56
SAMD11	2.2	24.53	29.48	18.56
ZFP69B	1.9	2.15	1.86	1.66
GPR89B	9.49	7.91	11.33	10.46
SRSF10	104.34	107.01	108.74	113.51
FAM72B	6.49	5.89	2.29	2.63
